idT;ordreT;intituleT;idCat;montant
1;1;Classique Jeune;6;230.0
2;2;Multi-clubs (sous réserve de justification);6;150.0
3;1;Mini-tennis (né en 2018 et après);9;160.0
4;2;Jeune 1h/semaine;9;270.0
5;3;Jeune 1h30/semaine;9;375.0
6;4;Jeune 1h/semaine + 1h le samedi;9;460.0
7;1;Groupe COMPETITION 2 x 1h30/semaine;12;545.0
8;2;Groupe Centre d'entraînement du club 3 x 1h30/semaine (sur choix de l'équipe pédagogique);12;710.0
9;3;Groupe JDP en partenariat Collège Jardin des Plantes (sur choix de l'équipe pédagogique);12;810.0
10;4;Groupe Centre d'entraînement en partenariat avec le groupe scolaire Isaac de l'Etoile (sur choix de l'équipe pédagogique);12;910.0
11;1;Classique Adulte;7;285.0
12;1;Classique Adulte;8;375.0
13;2;Multi-clubs (sous réserve de justification);7;200.0
14;2;Multi-clubs (sous réserve de justification);8;280.0
15;1;Cours Collectifs;10;440.0
16;1;Cours Collectifs;11;515.0
17;2;Etudiants;10;245.0
18;2;Etudiants;11;245.0
19;3;Midi au féminin 1h;10;340.0
20;3;Midi au féminin 1h;11;340.0
21;4;Cours Prepa/Tennis au féminin (2 x 45 min physique tennis/tennis);10;440.0
22;4;Cours Prepa/Tennis au féminin (2 x 45 min physique tennis/tennis);11;515.0
23;1;Location terrain intérieur 1h;13;18.0
24;2;Location terrain extérieur 1h;13;15.0
25;3;Location terrain étudiant 1h;13;10.0
26;4;Carte 10h + Carte Asso;13;175.0
27;5;Carte 10h;13;105.0
28;1;Carte membre CLUB : Elle permet d'accéder au bar et au restaurant du Stade Poitevin. Elle permet ni de prendre une licence au club, ni de participer aux votes de l'AG, ni de participer aux compétitions par équipe.;14;5.0
29;2;Carte membre ASSOCIATION : Elle permet d'accéder au bar et au restaurant, de prendre une licence, de participer aux votes de l'AG et de jouer en équipe. Elle ne permet ni de réserver un court, ni d'utiliser les courts en dehors des matchs par équipe à l'exclusion du tournoi interne. (license comprise);14;72.0
30;1;Non licencié FFT;18;8.0
31;2;Licencié FFT;18;7.0
32;3;Licencié club;18;6.0
33;4;Etudiant et -18 ans;18;4.0
34;1;Illimité 6 mois (mai -> octobre 2026);19;300.0
35;1;50h (soit 4,50€/h);23;225.0
36;2;20h (soit 5€/h);23;100.0
37;3;10h (soit 6€/h);24;60.0
38;1;Annuelle né en 2007 et avant;20;26.0
39;2;Annuelle né en 2008 et après;20;22.0
40;1;Raquette;21;2.0
41;1;Tube de 3 balles;22;7.0
